Opponent: actual Expert+ (ai_choose difficulty=1), unchanged search.
REINFORCE, alternating sides, terminal rewards, cap=1600 plies.
Resume=0 target=100000; session statistics start here.
game 1/100000 | learner blue | ply 20 | elapsed 3s
game 1/100000 | learner blue | ply 40 | elapsed 6s
game 1/100000 | learner blue | ply 60 | elapsed 8s
game 1/100000 | learner blue | ply 80 | elapsed 10s
game 1/100000 | learner blue | ply 100 | elapsed 12s
game 1/100000 | learner blue | ply 120 | elapsed 15s
game 1/100000 | learner blue | ply 140 | elapsed 16s
game 1/100000 | learner blue | ply 160 | elapsed 18s
game 1/100000 | learner blue | ply 180 | elapsed 19s
game 1/100000 | learner blue | ply 200 | elapsed 20s
game 1/100000 | learner blue | ply 220 | elapsed 22s
game 1/100000 | learner blue | ply 240 | elapsed 23s
game 1/100000 | learner blue | ply 260 | elapsed 24s
game 1/100000 | learner blue | ply 280 | elapsed 25s
game 1/100000 | learner blue | ply 300 | elapsed 26s
game 1/100000 | learner blue | ply 320 | elapsed 28s
game 1/100000 | learner blue | ply 340 | elapsed 29s
game 1/100000 | learner blue | ply 360 | elapsed 30s
game 1/100000 | learner blue | ply 380 | elapsed 31s
game 1/100000 | learner blue | ply 400 | elapsed 32s
SAVED 1/100000 | session W=0 L=1 capped=0 | last plies=404 | elapsed 32s
game 2/100000 | learner red | ply 20 | elapsed 35s
game 2/100000 | learner red | ply 40 | elapsed 37s
game 2/100000 | learner red | ply 60 | elapsed 39s
game 2/100000 | learner red | ply 80 | elapsed 40s
game 2/100000 | learner red | ply 100 | elapsed 41s
game 2/100000 | learner red | ply 120 | elapsed 42s
game 2/100000 | learner red | ply 140 | elapsed 44s
game 2/100000 | learner red | ply 160 | elapsed 46s
game 2/100000 | learner red | ply 180 | elapsed 48s
game 2/100000 | learner red | ply 200 | elapsed 50s
game 2/100000 | learner red | ply 220 | elapsed 52s
game 2/100000 | learner red | ply 240 | elapsed 53s
game 2/100000 | learner red | ply 260 | elapsed 54s
game 2/100000 | learner red | ply 280 | elapsed 55s
game 2/100000 | learner red | ply 300 | elapsed 56s
